Player,Total_Runs,Balls_Faced,Strike_Rate
V Kohli,6634,5133,129.24
S Dhawan,6244,4944,126.29
DA Warner,5883,4185,140.57
RG Sharma,5881,4529,129.85
SK Raina,5536,4046,136.83
AB de Villiers,5181,3411,151.89
CH Gayle,4997,3346,149.34
MS Dhoni,4978,3682,135.2
RV Uthappa,4954,3801,130.33
KD Karthik,4377,3302,132.56
G Gambhir,4217,3404,123.88
AT Rayudu,4190,3296,127.12
AM Rahane,4074,3376,120.68
KL Rahul,3895,2861,136.14
SR Watson,3880,2813,137.93
MK Pandey,3657,3006,121.66
SV Samson,3526,2598,135.72
KA Pollard,3437,2329,147.57
F du Plessis,3403,2606,130.58
YK Pathan,3222,2245,143.52
